VAARWATER;BENAM_COD;BENAMING;S57_ID;INBEDRIJF;X_RD;Y_RD;OBJ_SOORT;IALA_CAT;N_WGS_GMS;E_WGS_GMS;N_WGS_GM;E_WGS_GM;OBJ_VORM_C;OBJ_VORM;OBJ_KLEUR_C;OBJ_KLEUR;KLEURPATR_C;KLEURPATR;V_TT_C;TT_TOPTEK;TT_KLEUR_C;TT_KLEUR;TT_PAT_C;TT_KLR_PAT;SIGN_KAR_C;SIGN_KAR;SIGN_GR_C;SIGN_GROEP;SIGN_PERIO;RACON_CODE;LICHT_KL_C;LICHT_KLR;OPGEHEVEN;X_WGS84;Y_WGS84
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0125;AM 21;1002;01.01.2005;0,0000;0,0000;TK1200.1;4;51.46.09.98;005.08.20.64;51.46.1663;005.08.3440;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13906667;51.76943889
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0126;AM 28;1102;01.01.2005;0,0000;0,0000;TK1200.2;4;51.45.45.94;005.08.10.97;51.45.7657;005.08.1828;2;stomp;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13638056;51.76276111
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0127;AM 23;1002;01.01.2005;0,0000;0,0000;TK1200.1;4;51.45.46.46;005.08.07.06;51.45.7743;005.08.1177;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13529444;51.76290556
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0128;AM 30;1104;01.01.2005;0,0000;0,0000;TK1200.2;4;51.45.29.20;005.08.15.82;51.45.4867;005.08.2637;2;stomp;3;Rood;#;Niet toegewezen;5;Cilinder;3;Rood;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13772778;51.75811111
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0129;AM 25;1002;01.01.2005;0,0000;0,0000;TK1200.1;4;51.45.24.29;005.08.18.77;51.45.4048;005.08.3128;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.13854722;51.75674722
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0130;AM 27;1006;01.01.2005;0,0000;0,0000;LK1800 MM.;4;51.45.19.35;005.08.27.22;51.45.3225;005.08.4537;1;spits;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;3;LFl (long-flashing);#;Niet toegewezen;8;#;#;Niet toegewezen;#;5.14089444;51.755375
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0131;UM 2;5541;29.01.2015;129041,4783;425383,9240;REC;4;51.48.59.30;005.00.38.65;51.48.9883;005.00.6442;5;spar;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.01073611;51.81647222
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0132;UM 4;5541;29.01.2015;129055,5395;425347,3219;REC;4;51.48.58.12;005.00.39.40;51.48.9686;005.00.6566;5;spar;6;Geel;#;Niet toegewezen;5;Cilinder;3,1,3;Rood/wit/rood;1;Horizontaal;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.01094444;51.81614444
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0133;EM 1;1044;01.07.2016;135382,9086;422349,7721;REC;4;51.47.22.04;005.06.10.34;51.47.3674;005.06.1723;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.10287222;51.78945556
ANDELSE/AFGEDAMDE MAAS;VW-AS   -0134;EM 3;1044;01.07.2016;135443,1897;422326,9152;REC;4;51.47.21.31;005.06.13.49;51.47.3552;005.06.2248;5;spar;4;Groen;#;Niet toegewezen;1;Kegel, punt naar boven;4;Groen;#;Niet toegewezen;#;Niet toegewezen;#;Niet toegewezen;#;#;#;Niet toegewezen;#;5.10374722;51.78925278
